age,job,marital,education,default,housing,loan,contact,campaign,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
44,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
53,technician,married,unknown,no,no,no,cellular,1,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
28,management,single,university.degree,no,yes,no,cellular,3,success,-1.7,94.055,-39.8,0.729,4991.6,1
39,services,married,high.school,no,no,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
55,retired,married,basic.4y,no,yes,no,cellular,1,success,-2.9,92.201,-31.4,0.869,5076.2,1
30,management,divorced,basic.4y,no,yes,no,cellular,8,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
37,blue-collar,married,basic.4y,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,blue-collar,divorced,basic.9y,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
36,admin.,married,university.degree,no,no,no,cellular,1,success,-2.9,92.963,-40.8,1.266,5076.2,1
27,blue-collar,single,basic.4y,no,yes,no,cellular,2,failure,-1.8,93.075,-47.1,1.41,5099.1,0
34,housemaid,single,university.degree,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.864,5191,0
41,management,married,university.degree,no,yes,no,cellular,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
55,management,married,university.degree,no,no,no,cellular,3,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
33,services,divorced,high.school,no,yes,no,cellular,5,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
26,admin.,married,high.school,no,no,yes,telephone,1,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
52,services,married,high.school,unknown,yes,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
35,services,married,high.school,no,no,no,cellular,2,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
27,admin.,single,university.degree,no,no,no,telephone,1,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1
28,blue-collar,married,basic.9y,unknown,no,no,telephone,1,nonexistent,1.1,93.994,-36.4,4.86,5191,0
26,unemployed,single,basic.9y,no,yes,yes,cellular,4,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
41,unemployed,married,basic.9y,unknown,yes,no,telephone,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
35,blue-collar,single,unknown,no,no,yes,telephone,1,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
40,admin.,married,university.degree,unknown,yes,no,telephone,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
32,technician,single,professional.course,no,no,no,cellular,1,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
41,blue-collar,married,high.school,no,yes,yes,cellular,3,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
34,entrepreneur,single,university.degree,no,yes,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
49,technician,divorced,unknown,no,yes,yes,cellular,1,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,0
37,admin.,married,high.school,no,yes,no,cellular,1,success,-1.8,93.075,-47.1,1.365,5099.1,0
35,blue-collar,married,basic.6y,unknown,yes,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
38,blue-collar,single,basic.4y,unknown,no,no,telephone,5,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
47,services,divorced,high.school,no,no,no,telephone,1,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
46,admin.,married,university.degree,no,no,no,cellular,2,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
27,technician,married,professional.course,no,yes,no,cellular,1,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
29,technician,married,high.school,no,yes,no,cellular,3,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1
32,services,divorced,basic.9y,unknown,no,no,cellular,2,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
36,blue-collar,married,basic.6y,unknown,no,no,cellular,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
29,blue-collar,married,basic.4y,no,yes,yes,cellular,1,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
47,technician,married,high.school,unknown,no,no,cellular,2,failure,-1.8,93.075,-47.1,1.405,5099.1,0
44,blue-collar,married,basic.4y,no,yes,no,telephone,25,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
54,management,married,university.degree,no,yes,yes,cellular,11,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
36,blue-collar,married,basic.9y,no,no,no,telephone,2,nonexistent,1.1,93.994,-36.4,4.86,5191,0
